Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Blue,FALSE,Light Heavyweight,3,0,2,0,2,4,0,0,0,2,1,1,0,4,Orthodox,187.96,198.12,205,1,0,0,3,3,0,0,0,1,3,0,2,6,Orthodox,185.42,200.66,205,35,38
Red,FALSE,Bantamweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,135,1,0,0,1,1,0,0,0,0,1,0,0,1,Orthodox,170.18,172.72,135,31,24
Red,FALSE,Welterweight,3,0,2,0,2,4,0,0,0,2,1,1,0,4,Southpaw,182.88,190.5,170,0,4,0,4,2,0,0,0,4,1,1,0,6,Southpaw,182.88,187.96,170,31,26
Red,FALSE,Welterweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Switch,182.88,195.58,170,1,0,0,2,2,0,0,0,1,1,1,0,3,Southpaw,185.42,187.96,170,26,30
Blue,FALSE,Lightweight,3,0,3,0,3,1,0,0,0,2,1,0,0,3,Orthodox,180.34,190.5,155,1,0,0,3,2,0,1,1,1,2,0,0,5,Southpaw,177.8,177.8,155,33,27
Blue,FALSE,Featherweight,3,0,5,0,5,1,0,0,0,0,2,3,0,5,Switch,172.72,175.26,145,0,2,0,5,6,8,0,0,9,4,2,1,16,Orthodox,167.64,172.72,145,27,36
Red,FALSE,Bantamweight,3,0,1,0,1,2,0,0,0,0,1,0,0,1,Orthodox,175.26,177.8,135,0,1,0,1,0,0,0,0,1,0,0,0,1,Switch,180.34,182.88,135,29,23
Blue,FALSE,Heavyweight,3,0,1,0,7,9,5,0,1,3,9,2,0,15,Orthodox,190.5,195.58,240,1,0,0,4,7,0,1,0,1,5,5,0,12,Orthodox,210.82,213.36,265,39,30
Blue,FALSE,Women's Bantamweight,3,0,3,0,3,0,0,0,1,1,0,1,0,3,Orthodox,172.72,172.72,135,2,0,0,2,2,1,0,0,0,2,0,0,2,Southpaw,167.64,172.72,145,26,35
Red,FALSE,Bantamweight,3,0,4,0,4,3,0,0,0,1,1,3,0,5,Orthodox,167.64,165.1,135,1,0,0,3,4,3,0,0,3,4,0,1,8,Orthodox,160.02,167.64,135,31,33
Red,FALSE,Middleweight,3,5,0,0,2,7,0,0,0,1,2,0,0,3,Southpaw,175.26,180.34,185,0,1,0,3,8,1,0,1,5,2,2,0,10,Orthodox,187.96,193.04,185,40,34
Blue,FALSE,Welterweight,3,1,0,0,1,2,0,0,2,0,0,0,0,2,Orthodox,180.34,182.88,170,2,0,0,4,8,0,0,1,2,5,2,0,10,Orthodox,182.88,187.96,170,31,42
Blue,FALSE,Bantamweight,3,0,2,0,2,0,0,0,1,1,0,0,0,2,Orthodox,167.64,162.56,135,0,2,0,2,2,0,0,1,1,0,4,0,6,Orthodox,172.72,172.72,135,28,33
Red,FALSE,Light Heavyweight,3,1,0,0,1,1,0,0,0,0,1,0,0,1,Orthodox,190.5,193.04,205,0,2,0,2,0,0,0,0,2,0,0,0,2,Orthodox,187.96,200.66,205,30,29
Blue,FALSE,Featherweight,5,0,2,0,3,13,0,0,1,6,6,0,1,14,Orthodox,172.72,180.34,145,0,2,0,2,1,0,0,1,2,1,0,0,4,Orthodox,167.64,177.8,145,31,32
Red,FALSE,Women's Strawweight,3,0,3,0,3,1,0,0,0,5,0,1,0,6,Orthodox,154.94,152.4,115,0,1,0,3,4,1,0,1,4,1,2,0,8,Orthodox,154.94,157.48,115,28,26
Blue,FALSE,Light Heavyweight,3,0,1,0,3,3,0,0,0,2,3,1,0,6,Orthodox,177.8,185.42,205,0,3,0,4,5,1,1,0,1,5,3,0,10,Southpaw,190.5,203.2,205,34,34
Blue,FALSE,Welterweight,3,1,0,0,1,2,0,0,0,0,1,0,0,1,Orthodox,180.34,193.04,170,1,0,0,2,2,0,0,0,0,4,0,0,4,Orthodox,177.8,180.34,170,32,26
Blue,FALSE,Bantamweight,3,0,1,0,1,1,0,0,0,0,1,1,0,2,Switch,167.64,167.64,135,1,0,0,7,4,6,0,0,4,2,3,0,9,Orthodox,167.64,177.8,135,31,31
Blue,FALSE,Women's Bantamweight,3,0,1,0,2,3,0,0,0,1,2,1,0,4,Orthodox,167.64,172.72,135,1,0,0,3,4,1,0,1,1,1,2,0,5,Orthodox,167.64,167.64,135,40,37
Blue,FALSE,Women's Strawweight,3,1,0,0,1,4,0,0,0,2,0,0,0,2,Orthodox,160.02,162.56,115,0,2,0,2,1,0,0,1,1,0,1,0,3,Orthodox,170.18,170.18,125,33,26
Blue,FALSE,Welterweight,3,2,0,0,3,4,0,0,0,3,3,0,0,6,Southpaw,182.88,185.42,170,1,0,0,3,5,0,0,1,2,2,3,0,8,Orthodox,187.96,195.58,170,36,34
Red,FALSE,Bantamweight,3,0,1,0,2,4,0,0,1,0,1,1,0,3,Orthodox,170.18,177.8,135,0,1,0,4,4,0,0,1,4,0,4,0,9,Orthodox,167.64,170.18,135,31,33
Blue,FALSE,Flyweight,3,0,1,0,1,0,0,0,0,0,0,1,0,1,Orthodox,167.64,165.1,135,0,1,0,1,2,0,0,0,1,0,0,0,1,Orthodox,167.64,172.72,125,25,27
Red,FALSE,Welterweight,5,0,3,0,3,5,0,0,1,0,2,3,0,6,Orthodox,177.8,190.5,155,3,0,0,8,7,1,0,0,6,8,5,0,19,Orthodox,185.42,185.42,155,30,34
Red,FALSE,Heavyweight,3,1,0,0,3,2,0,0,0,1,2,0,0,3,Orthodox,190.5,198.12,249,1,0,0,6,3,0,0,1,0,8,0,0,9,Orthodox,190.5,200.66,260,32,33
Red,FALSE,Lightweight,3,0,1,0,7,4,0,0,1,6,2,2,1,12,Southpaw,175.26,177.8,155,0,3,0,5,1,0,0,0,3,2,3,0,8,Orthodox,190.5,193.04,155,39,30
Red,FALSE,Lightweight,3,0,1,0,1,3,0,0,0,0,1,0,0,1,Orthodox,177.8,182.88,155,0,1,0,2,2,0,0,0,2,1,1,0,4,Orthodox,182.88,180.34,170,30,21
Blue,FALSE,Lightweight,3,0,1,0,2,2,0,0,0,1,1,1,0,3,Orthodox,175.26,187.96,155,0,2,0,2,0,0,0,0,1,1,0,0,2,Orthodox,175.26,172.72,155,33,29
Red,FALSE,Flyweight,3,1,0,0,1,2,0,0,1,0,0,0,0,1,Orthodox,167.64,172.72,135,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,125,26,31
Blue,FALSE,Women's Bantamweight,3,0,1,0,1,1,0,0,0,1,0,0,0,1,Orthodox,172.72,170.18,125,0,1,0,1,1,0,0,0,1,0,1,0,2,Orthodox,170.18,170.18,135,23,29
Blue,FALSE,Welterweight,3,2,0,0,2,2,0,0,1,1,0,0,0,2,Orthodox,180.34,182.88,170,4,0,0,2,12,0,0,1,3,1,1,0,6,Orthodox,177.8,182.88,170,27,37
Red,TRUE,Middleweight,5,0,1,0,5,2,2,0,0,0,3,3,0,6,Southpaw,190.5,195.58,185,1,0,0,8,1,1,0,1,1,6,0,0,8,Southpaw,182.88,185.42,185,33,40
Blue,FALSE,Heavyweight,3,0,2,0,2,2,0,0,0,1,1,0,1,3,Orthodox,193.04,203.2,265,0,1,0,4,7,1,0,0,1,7,0,0,8,Orthodox,177.8,182.88,265,26,43
Red,FALSE,Heavyweight,3,0,1,0,1,2,0,0,0,0,1,1,0,2,Orthodox,182.88,187.96,247,0,1,0,1,0,0,0,0,0,1,0,0,1,Southpaw,187.96,190.5,264,32,24
Red,FALSE,Welterweight,3,0,3,0,3,2,0,0,1,0,4,0,0,5,Orthodox,182.88,180.34,170,0,1,0,2,3,0,0,1,0,0,3,1,5,Orthodox,180.34,185.42,170,29,23
Red,FALSE,Light Heavyweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,185.42,198.12,205,1,0,0,2,1,0,0,0,0,1,1,0,2,Orthodox,190.5,200.66,205,31,26
Blue,FALSE,Lightweight,3,0,2,0,2,2,0,0,0,1,1,0,0,2,Orthodox,180.34,177.8,155,2,0,0,2,3,0,0,1,0,1,0,0,2,Orthodox,177.8,172.72,155,29,33
Red,FALSE,Featherweight,3,0,3,0,3,0,0,0,0,3,0,0,0,3,Orthodox,180.34,180.34,145,0,3,0,3,0,0,0,0,2,1,0,0,3,Orthodox,167.64,180.34,145,25,29
Red,FALSE,Flyweight,3,0,2,0,2,1,0,0,0,1,1,2,0,4,Switch,165.1,165.1,125,0,1,0,3,4,0,0,0,4,0,2,0,6,Orthodox,165.1,170.18,125,29,32
Red,FALSE,Lightweight,3,1,0,0,1,4,0,0,0,1,0,0,0,1,Orthodox,170.18,170.18,155,4,0,0,3,12,1,0,2,4,4,0,1,11,Orthodox,172.72,175.26,155,36,33
Blue,FALSE,Bantamweight,3,0,3,0,3,1,1,0,0,2,0,1,0,3,Orthodox,172.72,175.26,135,0,1,0,2,3,0,0,0,1,2,0,0,3,Southpaw,170.18,175.26,135,27,26
Red,FALSE,Welterweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,180.34,180.34,170,1,0,0,1,1,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,170,26,29
Red,FALSE,Middleweight,5,0,2,0,2,0,0,0,0,1,1,0,0,2,Southpaw,185.42,190.5,185,3,0,0,8,8,5,0,1,6,6,1,0,14,Southpaw,185.42,187.96,185,30,39
Red,FALSE,Lightweight,3,1,0,0,1,1,0,0,1,0,0,0,0,1,Southpaw,177.8,185.42,155,0,5,0,5,2,0,0,2,3,0,2,0,7,Orthodox,167.64,170.18,170,28,36
Red,FALSE,Heavyweight,3,0,1,0,1,0,0,0,0,0,0,1,0,1,Orthodox,190.5,190.5,249,1,0,0,1,3,0,0,1,1,1,0,0,3,Southpaw,190.5,195.58,265,25,32
Red,FALSE,Bantamweight,3,1,0,0,3,3,0,0,0,1,1,2,0,4,Switch,172.72,177.8,135,1,0,0,2,2,0,0,0,1,1,0,0,2,Orthodox,170.18,172.72,135,25,32
Red,FALSE,Middleweight,3,0,3,0,3,2,0,0,0,1,3,0,0,4,Orthodox,193.04,193.04,205,0,3,0,4,4,0,0,0,1,7,0,0,8,Orthodox,187.96,193.04,205,29,34
Red,FALSE,Welterweight,3,1,0,0,4,7,0,0,1,3,4,1,0,9,Orthodox,187.96,190.5,170,1,0,0,4,3,1,0,1,2,1,2,0,6,Orthodox,182.88,182.88,170,33,35
Red,FALSE,Lightweight,3,0,1,0,1,1,0,0,0,0,1,0,0,1,Orthodox,175.26,177.8,155,0,2,0,2,1,0,0,0,3,1,0,0,4,Southpaw,180.34,187.96,155,31,34
Red,FALSE,Bantamweight,3,1,0,0,3,4,1,0,0,1,0,2,0,3,Orthodox,167.64,165.1,135,2,0,0,3,7,0,0,1,4,2,2,0,9,Southpaw,175.26,180.34,135,30,37
Red,FALSE,Flyweight,3,0,1,0,1,0,0,0,0,0,0,1,0,1,Switch,167.64,175.26,125,0,1,0,1,0,0,0,1,0,0,0,0,1,Orthodox,165.1,172.72,125,23,30
Red,FALSE,Middleweight,5,0,2,0,5,3,0,0,0,2,6,1,0,9,Southpaw,185.42,195.58,185,1,0,0,5,2,0,0,0,1,2,4,0,7,Orthodox,185.42,182.88,185,34,38
Blue,FALSE,Featherweight,3,0,1,0,1,4,0,0,0,3,2,0,0,5,Orthodox,180.34,187.96,145,2,0,0,7,5,1,0,2,4,1,2,0,9,Orthodox,167.64,167.64,155,27,31
Blue,FALSE,Lightweight,3,0,3,0,3,0,0,0,0,1,1,1,0,3,Orthodox,170.18,180.34,155,0,1,0,1,1,0,0,0,0,0,1,0,1,Orthodox,177.8,182.88,145,31,30
Red,FALSE,Welterweight,3,0,1,0,1,0,0,0,1,0,0,0,0,1,Orthodox,177.8,185.42,170,0,1,0,2,5,0,0,0,1,2,1,0,4,Southpaw,172.72,177.8,155,28,29
Blue,FALSE,Lightweight,3,4,0,0,4,4,0,0,1,1,1,1,0,4,Orthodox,177.8,180.34,155,1,0,0,2,4,0,0,0,1,2,1,0,4,Southpaw,177.8,180.34,155,31,29
Red,FALSE,Featherweight,3,1,0,0,3,5,1,0,1,0,1,3,0,5,Orthodox,170.18,185.42,145,1,0,0,4,1,0,1,0,1,1,1,0,4,Orthodox,172.72,177.8,145,30,26
Red,FALSE,Women's Flyweight,3,0,1,0,1,0,0,0,0,0,0,1,0,1,Orthodox,167.64,175.26,125,0,1,0,1,1,0,0,1,1,0,0,0,2,Orthodox,175.26,172.72,125,31,29
Red,FALSE,Women's Strawweight,3,1,0,0,2,3,0,0,0,3,0,0,0,3,Orthodox,165.1,165.1,115,1,0,0,1,4,0,0,1,2,0,0,0,3,Orthodox,162.56,160.02,115,35,32
Blue,FALSE,Women's Flyweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,170.18,182.88,125,1,0,0,2,1,0,0,0,2,0,0,0,2,Orthodox,165.1,162.56,125,28,29
Red,FALSE,Lightweight,3,0,3,0,3,0,0,0,2,0,1,0,0,3,Orthodox,172.72,175.26,155,0,3,0,3,1,0,0,0,2,1,0,0,3,Orthodox,177.8,182.88,155,28,35
Red,FALSE,Welterweight,3,1,0,0,2,2,0,0,0,2,1,0,0,3,Orthodox,182.88,185.42,170,1,0,0,1,2,0,0,0,0,1,1,0,2,Orthodox,182.88,193.04,170,36,28
Red,TRUE,Heavyweight,5,0,6,0,6,0,0,0,0,0,4,1,1,6,Orthodox,193.04,210.82,250,0,5,0,5,2,3,0,0,3,8,0,0,11,Orthodox,193.04,203.2,240,31,35
Red,TRUE,Light Heavyweight,5,0,3,0,3,0,0,0,1,0,2,0,0,3,Orthodox,187.96,190.5,205,1,0,0,4,2,5,0,1,3,1,3,0,8,Orthodox,180.34,182.88,235,28,38
Red,FALSE,Featherweight,3,0,3,0,3,0,0,0,0,2,1,0,0,3,Orthodox,180.34,190.5,145,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,145,26,29
Red,FALSE,Light Heavyweight,3,1,0,0,2,4,0,0,0,4,0,0,0,4,Orthodox,185.42,190.5,205,2,0,0,2,6,0,0,1,0,4,0,0,5,Orthodox,190.5,193.04,205,37,32
Blue,FALSE,Bantamweight,3,1,0,0,2,2,0,0,0,0,3,1,0,4,Orthodox,172.72,180.34,135,1,0,0,4,2,0,0,0,1,4,0,0,5,Southpaw,170.18,177.8,135,30,26
Blue,FALSE,Welterweight,3,0,1,0,1,1,0,0,0,0,2,0,0,2,Orthodox,177.8,185.42,170,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,170,32,29
Red,FALSE,Flyweight,3,0,2,0,2,0,0,0,1,0,0,1,0,2,Orthodox,165.1,170.18,125,0,1,0,2,5,0,0,3,0,3,0,0,6,Orthodox,165.1,165.1,125,27,29
Red,FALSE,Lightweight,3,2,0,0,3,10,0,0,5,6,1,4,0,16,Southpaw,177.8,180.34,155,0,2,0,2,1,0,0,0,2,0,1,0,3,Orthodox,177.8,177.8,155,34,26
Red,FALSE,Featherweight,5,1,0,0,3,1,0,0,0,0,3,0,0,3,Orthodox,177.8,177.8,145,0,1,0,3,13,0,0,1,6,5,0,1,13,Orthodox,172.72,180.34,145,26,31
Blue,FALSE,Women's Flyweight,3,0,1,0,1,0,0,0,1,0,0,0,0,1,Orthodox,165.1,162.56,125,1,0,0,3,2,0,0,0,1,2,1,0,4,Orthodox,162.56,165.1,115,30,23
Red,FALSE,Welterweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Switch,180.34,187.96,170,0,6,0,6,0,1,0,0,4,1,1,0,6,Switch,182.88,193.04,170,29,30
Red,FALSE,Featherweight,3,2,0,0,4,8,1,0,0,5,4,0,0,9,Southpaw,177.8,185.42,145,0,5,0,5,4,0,0,2,8,3,0,0,13,Orthodox,177.8,180.34,145,31,33
Red,FALSE,Lightweight,3,0,1,0,1,3,0,0,0,1,2,0,0,3,Southpaw,182.88,180.34,155,0,3,0,3,3,0,0,0,2,1,2,0,5,Orthodox,187.96,185.42,170,29,31
Blue,FALSE,Women's Bantamweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,135,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,162.56,172.72,135,29,30
Red,FALSE,Bantamweight,3,0,1,0,1,1,0,0,0,1,0,0,0,1,Southpaw,167.64,172.72,135,0,2,0,2,2,0,0,1,0,0,1,0,2,Orthodox,175.26,185.42,135,38,30
Blue,FALSE,Women's Flyweight,3,4,0,0,1,6,0,0,0,0,0,0,1,1,Orthodox,167.64,167.64,125,1,0,0,0,1,0,0,0,0,0,0,0,0,Switch,170.18,183.8185864,125,31,31
Blue,FALSE,Women's Strawweight,3,0,1,0,1,1,0,0,0,1,0,0,0,1,Southpaw,165.1,170.18,125,0,2,0,2,1,0,0,1,1,0,0,0,2,Orthodox,152.4,152.4,115,25,28
Red,FALSE,Featherweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,177.8,175.26,145,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,145,28,23
Red,TRUE,Women's Featherweight,5,0,1,0,3,3,3,0,1,1,2,0,0,4,Southpaw,172.72,175.26,145,0,3,0,3,0,1,0,0,0,3,0,0,3,Orthodox,172.72,172.72,145,36,32
Red,FALSE,Lightweight,3,0,3,0,4,4,0,1,1,5,6,0,0,13,Orthodox,180.34,190.5,155,0,8,0,8,0,0,0,0,4,2,2,0,8,Orthodox,177.8,177.8,155,31,29
Red,FALSE,Lightweight,3,0,3,0,3,0,0,0,0,1,2,0,0,3,Orthodox,177.8,185.42,155,0,1,0,1,3,0,0,0,0,3,1,0,4,Switch,182.88,190.5,155,24,27
Blue,FALSE,Women's Strawweight,3,1,0,0,1,2,2,0,0,1,0,1,0,2,Orthodox,154.94,160.02,115,0,3,0,3,0,0,0,0,1,0,2,0,3,Orthodox,162.56,162.56,115,30,30
Blue,FALSE,Welterweight,3,1,0,0,7,5,0,0,1,6,4,1,0,12,Orthodox,190.5,203.2,170,2,0,0,5,6,3,0,1,1,4,0,1,7,Orthodox,187.96,190.5,170,30,33
Red,FALSE,Featherweight,3,0,2,0,2,1,0,0,1,1,0,0,0,2,Southpaw,182.88,177.8,145,0,1,0,6,2,0,0,1,2,3,1,0,7,Orthodox,177.8,185.42,145,28,29
Blue,FALSE,Middleweight,3,0,2,0,2,3,0,0,1,2,2,0,0,5,Orthodox,182.88,185.42,185,0,1,0,1,1,0,0,0,1,0,1,0,2,Southpaw,182.88,187.96,185,30,24
Blue,FALSE,Flyweight,3,0,2,0,2,0,0,0,1,0,0,1,0,2,Orthodox,167.64,167.64,125,3,0,0,4,4,0,0,0,2,2,1,0,5,Orthodox,175.26,172.72,135,24,26
Blue,FALSE,Welterweight,5,0,2,0,5,7,3,0,0,9,4,3,0,16,Southpaw,172.72,177.8,170,0,1,0,5,5,5,0,3,4,6,0,0,13,Southpaw,180.34,187.96,170,33,35
Blue,FALSE,Featherweight,3,0,1,0,2,1,0,0,1,2,0,0,0,3,Orthodox,167.64,177.8,145,0,2,0,4,3,1,0,0,3,3,3,0,9,Orthodox,172.72,180.34,145,32,35
Red,FALSE,Welterweight,3,0,2,0,2,1,0,0,0,0,4,0,0,4,Orthodox,177.8,180.34,170,0,5,0,5,2,0,0,0,3,4,0,0,7,Orthodox,182.88,185.42,170,26,31
Red,FALSE,Light Heavyweight,3,1,0,0,4,1,0,0,0,0,1,3,0,4,Orthodox,190.5,195.58,205,1,0,0,5,4,1,0,0,2,3,3,1,9,Orthodox,187.96,193.04,205,30,38
Blue,FALSE,Light Heavyweight,3,0,1,0,1,4,0,0,0,1,1,1,0,3,Orthodox,187.96,198.12,205,0,1,0,2,2,0,0,0,1,2,0,0,3,Switch,180.34,195.58,185,34,33
Red,FALSE,Welterweight,3,0,1,0,1,0,0,0,0,0,1,0,0,1,Switch,180.34,182.88,170,0,2,0,3,2,1,0,1,2,2,0,0,5,Orthodox,177.8,180.34,170,35,31
Red,FALSE,Welterweight,3,0,1,0,2,1,0,0,0,1,1,1,0,3,Southpaw,185.42,187.96,170,0,1,0,3,2,0,0,1,3,1,0,0,5,Orthodox,185.42,187.96,170,30,36
Red,FALSE,Lightweight,3,1,0,0,3,4,0,0,0,1,3,1,0,6,Orthodox,172.72,177.8,155,1,0,0,3,6,0,0,1,3,3,0,0,7,Orthodox,172.72,172.72,155,34,32
Red,FALSE,Middleweight,3,2,0,0,1,3,0,0,0,0,1,0,0,1,Switch,180.34,198.12,185,1,0,0,1,2,0,0,1,0,0,0,0,1,Orthodox,182.88,187.96,185,30,28
Red,FALSE,Welterweight,3,1,0,0,2,7,0,0,0,0,2,5,0,7,Orthodox,182.88,187.96,170,3,0,0,2,4,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,33,28
Blue,FALSE,Featherweight,5,0,4,0,4,1,0,0,0,0,2,2,0,4,Switch,172.72,175.26,145,0,4,0,6,3,0,0,0,6,4,0,0,10,Orthodox,172.72,177.8,145,26,34
Blue,FALSE,Featherweight,3,1,0,0,2,2,0,0,0,1,0,2,0,3,Southpaw,172.72,180.34,145,1,0,0,4,2,0,0,1,1,1,1,0,4,Orthodox,177.8,180.34,145,29,25
Red,FALSE,Bantamweight,3,0,2,0,4,2,0,0,0,3,1,2,0,6,Orthodox,170.18,180.34,135,0,1,0,1,1,0,0,1,0,0,0,0,1,Orthodox,167.64,170.18,135,28,29
Red,FALSE,Lightweight,3,0,1,0,1,1,0,0,1,0,0,0,0,1,Southpaw,177.8,177.8,155,0,1,0,1,2,0,0,0,2,0,1,0,3,Orthodox,175.26,175.26,155,30,34
Red,FALSE,Women's Flyweight,3,0,2,0,2,3,1,0,1,1,1,0,0,3,Orthodox,167.64,167.64,125,0,1,0,3,2,1,0,1,3,0,1,0,5,Orthodox,167.64,172.72,125,33,33
Blue,FALSE,Bantamweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,135,1,0,0,1,1,0,0,0,0,0,1,0,1,Southpaw,167.64,170.18,135,29,31
Red,FALSE,Bantamweight,3,1,0,0,3,6,0,0,1,4,2,2,0,9,Southpaw,175.26,180.34,135,0,1,0,2,2,1,0,1,1,2,0,0,4,Orthodox,167.64,170.18,135,37,28
Blue,FALSE,Lightweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,167.64,177.8,155,1,0,0,1,1,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,155,31,31
Blue,FALSE,Middleweight,3,0,1,0,1,0,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,185,1,0,0,1,1,0,0,0,0,0,1,0,1,Orthodox,190.5,195.58,185,25,30
Red,TRUE,Featherweight,5,1,0,0,7,2,10,0,0,6,2,0,0,8,Orthodox,170.18,177.8,145,0,11,0,11,3,2,0,1,4,7,2,0,14,Orthodox,180.34,175.26,155,31,25
Blue,FALSE,Heavyweight,3,0,5,0,5,0,0,0,0,0,3,1,1,5,Orthodox,193.04,210.82,250,0,2,0,4,4,1,1,0,2,5,0,0,8,Orthodox,193.04,203.2,265,31,37
Red,FALSE,Flyweight,3,0,4,0,4,2,0,0,0,7,0,0,0,7,Orthodox,167.64,175.26,135,0,1,0,4,2,1,0,1,3,1,0,0,5,Orthodox,162.56,162.56,135,24,30
Red,FALSE,Lightweight,3,0,1,0,1,0,0,0,0,0,1,0,0,1,Orthodox,180.34,177.8,155,2,0,0,3,3,2,0,2,0,1,0,0,3,Orthodox,175.26,175.26,155,29,33
Red,FALSE,Women's Strawweight,3,1,0,0,2,1,0,0,0,0,0,2,0,2,Orthodox,160.02,157.48,115,0,2,0,3,1,0,0,0,4,0,1,0,5,Orthodox,154.94,152.4,115,31,28
Blue,FALSE,Lightweight,3,0,2,0,2,3,0,0,1,1,3,1,0,6,Orthodox,180.34,177.8,155,0,1,0,4,8,0,0,0,1,0,9,0,10,Orthodox,177.8,187.96,155,33,28
Blue,FALSE,Welterweight,3,0,2,0,2,5,0,0,1,0,1,3,0,5,Orthodox,177.8,190.5,155,0,2,0,3,3,0,0,0,2,3,2,0,7,Orthodox,180.34,193.04,170,30,29
Red,FALSE,Lightweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,175.26,177.8,155,0,3,0,3,0,0,0,0,1,2,0,0,3,Southpaw,175.26,185.42,155,29,28
Red,FALSE,Women's Strawweight,3,0,1,0,2,3,0,0,0,1,1,1,0,3,Orthodox,170.18,170.18,115,0,3,0,3,1,0,0,0,2,0,2,0,4,Orthodox,162.56,165.1,115,30,33
Red,FALSE,Women's Strawweight,3,2,0,0,0,2,0,0,0,0,0,0,0,0,Orthodox,154.94,165.1,115,1,0,0,1,2,1,0,0,1,0,0,0,1,Switch,160.02,162.56,115,34,26
Blue,FALSE,Welterweight,3,1,0,0,1,1,0,0,0,0,1,0,0,1,Orthodox,177.8,185.42,170,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,170,32,29
Blue,FALSE,Middleweight,3,1,0,0,2,1,0,0,0,0,0,2,0,2,Southpaw,185.42,195.58,185,0,2,0,2,1,0,0,0,0,0,2,0,2,Orthodox,185.42,185.42,185,29,31
Blue,FALSE,Bantamweight,3,0,2,0,2,0,0,0,0,2,0,0,0,2,Orthodox,170.18,180.34,135,0,3,0,3,3,1,0,0,1,0,2,0,3,Orthodox,167.64,165.1,135,25,30
Blue,FALSE,Middleweight,3,2,0,0,1,2,0,0,0,1,0,0,0,1,Orthodox,190.5,193.04,185,1,0,0,2,1,1,0,0,2,0,0,0,2,Orthodox,185.42,187.96,185,36,29
Blue,FALSE,Middleweight,5,2,0,0,5,4,1,0,2,2,2,2,0,8,Southpaw,175.26,180.34,185,1,0,0,5,8,4,0,2,8,10,0,0,20,Orthodox,185.42,190.5,185,26,38
Red,FALSE,Welterweight,3,0,1,0,1,1,0,0,2,0,0,0,0,2,Orthodox,180.34,182.88,170,0,2,0,2,2,0,0,1,0,3,0,0,4,Orthodox,182.88,180.34,170,30,29
Blue,FALSE,Heavyweight,3,1,0,0,2,2,0,0,1,1,0,0,0,2,Orthodox,190.5,193.04,235,0,2,0,2,2,0,0,0,1,1,0,0,2,Orthodox,193.04,198.12,250,36,28
Red,FALSE,Heavyweight,5,0,3,0,3,1,0,0,0,1,2,0,0,3,Orthodox,190.5,198.12,249,0,1,0,6,4,3,0,0,3,4,3,0,10,Orthodox,193.04,195.58,231,32,40
Blue,FALSE,Welterweight,3,0,2,0,2,2,0,0,0,2,1,0,0,3,Orthodox,180.34,182.88,170,0,1,0,4,6,0,0,1,3,4,1,0,9,Orthodox,187.96,190.5,170,29,33
Red,FALSE,Welterweight,3,1,0,0,1,3,0,0,0,1,1,0,0,2,Southpaw,182.88,193.04,170,2,0,0,2,3,0,0,0,0,0,3,1,4,Orthodox,180.34,185.42,170,28,23
Red,FALSE,Middleweight,3,1,0,0,4,2,0,0,1,3,1,1,0,6,Southpaw,182.88,177.8,185,1,0,0,3,2,1,0,0,3,2,0,0,5,Orthodox,185.42,190.5,185,40,29
