Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Red,FALSE,Middleweight,3,0,2,0,2,0,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185,0,1,0,2,3,0,0,0,3,1,3,0,7,Southpaw,182.88,190.5,185,26,34
Red,FALSE,Featherweight,3,3,0,0,1,3,0,0,1,0,0,0,0,1,Southpaw,185.42,187.96,145,1,0,0,2,1,0,0,0,1,0,1,0,2,Southpaw,170.18,177.8,145,29,29
Blue,TRUE,Women's Strawweight,5,0,3,0,3,4,1,0,1,5,2,2,0,10,Orthodox,154.94,157.48,115,0,3,0,3,2,3,0,0,2,1,3,0,6,Orthodox,165.1,165.1,115,27,26
Red,FALSE,Middleweight,3,1,0,0,16,6,13,0,0,3,11,3,0,17,Southpaw,187.96,195.58,185,0,1,0,2,4,0,0,0,1,3,0,0,4,Switch,180.34,195.58,185,44,35
Blue,FALSE,Featherweight,3,0,6,0,6,0,0,0,0,3,3,0,0,6,Orthodox,167.64,180.34,145,0,2,0,7,3,11,0,0,6,4,0,0,10,Orthodox,170.18,177.8,145,30,32
Blue,FALSE,Welterweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,185.42,180.34,170,0,1,0,7,10,1,0,1,5,7,1,1,15,Orthodox,175.26,177.8,170,26,35
Red,FALSE,Women's Bantamweight,3,2,0,0,3,4,1,0,2,1,1,0,0,4,Orthodox,165.1,162.56,135,0,2,0,2,2,0,0,1,1,0,0,0,2,Orthodox,175.26,172.72,135,35,31
Blue,FALSE,Light Heavyweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,195.58,200.66,205,0,1,0,2,5,0,0,1,1,4,0,0,6,Southpaw,187.96,190.5,205,27,42
Red,FALSE,Lightweight,3,3,0,0,0,3,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,155,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,155,32,24
Red,FALSE,Welterweight,3,1,0,0,4,4,1,0,2,2,1,3,0,8,Orthodox,182.88,182.88,170,1,0,0,4,3,1,0,0,2,0,3,1,6,Orthodox,180.34,182.88,170,36,28
Blue,FALSE,Lightweight,3,1,0,0,4,12,0,0,3,5,2,4,0,14,Orthodox,170.18,177.8,155,7,0,0,3,14,11,0,0,1,6,4,1,12,Orthodox,175.26,177.8,155,37,40
