,principal component 1B,principal component 2B,principal component 3B,principal component 1R,principal component 2R,principal component 3R,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
14,-2.353691650812805,0.23892054178400907,0.03556210334315888,-2.5182470266579147,1.7266760706915516,1.4283433158146657,Red,False,Featherweight,3,0,1,0,1,1,0,0,0,0,0,1,0,1,Orthodox,172.72,172.72,145.0,0,1,0,3,1,0,0,1,1,1,1,0,4,Southpaw,177.8,182.88,145.0,26.0,30.0
15,-0.7276918302892312,1.1844475347951564,0.02136971091963484,0.09837262728232123,0.8663451631975955,-2.173496807493969,Blue,False,Lightweight,3,0,1,0,1,3,0,0,0,1,0,1,0,2,Orthodox,177.8,180.34,155.0,0,2,0,2,2,0,0,1,0,2,0,0,3,Orthodox,175.26,177.8,155.0,29.0,32.0
16,4.251345477744039,0.4721845909746312,-0.932801495588971,0.5833977962505368,-1.0838441796835812,-1.60272763719802,Blue,False,Women's Bantamweight,3,1,0,0,1,3,0,0,0,2,0,0,0,2,Orthodox,170.18,165.1,135.0,2,0,0,0,2,1,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135.0,37.0,37.0
17,-0.1855045657918986,-1.5715188316444482,0.27954134167868855,0.814056507060853,-0.24088945564154193,-0.9047448326635034,Blue,False,Lightweight,3,0,4,0,4,1,1,0,1,1,1,2,0,5,Orthodox,182.88,190.5,155.0,0,1,0,3,3,0,1,1,2,2,0,0,6,Southpaw,177.8,177.8,155.0,39.0,29.0
18,3.088935392447067,-1.0617939135405576,0.22999315348648977,0.838292214969384,-1.6477280068198665,-0.7749349586036025,Blue,False,Lightweight,3,2,0,0,1,2,0,0,1,0,0,0,0,1,Orthodox,177.8,185.42,170.0,2,0,0,3,3,0,0,0,4,0,0,0,4,Southpaw,167.64,167.64,155.0,30.0,35.0
19,0.20553185434898588,-1.0849653763221312,0.9379244878877686,-3.4720363647193997,-2.272445876755193,-1.6174303458132724,Blue,False,Light Heavyweight,3,1,0,0,2,3,0,0,0,3,0,0,0,3,Orthodox,182.88,190.5,205.0,0,1,0,1,0,0,0,0,0,1,0,0,1,Orthodox,182.88,193.04,205.0,29.0,27.0
20,0.07314711898902561,-0.6723176689798009,2.557112543748831,2.5593598322530022,-0.6797950010367625,1.146952158283339,Red,False,Welterweight,5,1,0,0,5,4,1,0,1,3,1,4,1,10,Orthodox,175.26,195.58,170.0,2,0,0,5,9,4,0,0,10,4,3,0,17,Southpaw,172.72,177.8,170.0,26.0,34.0
21,2.7916088098329266,1.499476382988171,0.07583442330761311,-1.4098398291213605,0.26015879402290676,1.0710328485272105,Blue,False,Middleweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,185.0,0,4,0,4,3,1,0,0,2,0,4,0,6,Orthodox,187.96,200.66,185.0,30.0,29.0
22,1.3852275616230023,0.7781282581839419,2.1122497104730114,-1.3628172263778269,0.189775502950984,0.35928583780342194,Red,False,Lightweight,3,0,2,0,4,8,0,0,2,7,3,2,0,14,Orthodox,172.72,172.72,155.0,0,4,0,4,9,0,0,0,1,0,13,0,14,Orthodox,177.8,187.96,155.0,34.0,29.0
23,1.408030355407775,-1.943786196874321,1.3048574682896485,-0.8532977421904285,-1.6238562138515018,1.5881222590451372,Red,False,Women's Bantamweight,3,0,2,0,2,0,0,0,0,2,0,0,0,2,Orthodox,162.56,170.18,135.0,0,2,0,2,0,0,0,0,0,2,0,0,2,Orthodox,167.64,167.64,135.0,34.0,24.0
24,0.03377522814468284,-0.10697082924279806,4.932984115403176,2.496593239654362,-0.003834365961868935,0.33442630388596306,Blue,False,Featherweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Switch,177.8,182.88,145.0,0,2,0,2,0,1,0,2,0,0,0,0,2,Orthodox,180.34,180.34,155.0,25.0,27.0
25,-0.26497281597937794,0.8134485844395568,1.1148171810608443,-0.8571019640252856,-0.28252437862771324,0.9575917847506914,Blue,False,Light Heavyweight,3,3,0,0,3,11,1,0,1,2,3,4,0,10,Orthodox,185.42,195.58,205.0,2,0,0,3,6,0,0,1,3,2,0,0,6,Orthodox,187.96,193.04,205.0,38.0,38.0
26,-1.364719369678828,-0.9832028957405538,1.1034938584855074,0.177879363703885,-0.24988517021468187,-0.8242191017837057,Red,False,Middleweight,3,0,2,0,2,0,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185.0,0,1,0,2,3,0,0,0,3,1,3,0,7,Southpaw,182.88,190.5,185.0,26.0,34.0
27,0.5354576206309931,0.7978032190524806,-1.074830761414841,3.5154649992602454,-2.2165159583448153,-0.35479855597474963,Red,False,Featherweight,3,3,0,0,1,3,0,0,1,0,0,0,0,1,Southpaw,185.42,187.96,145.0,1,0,0,2,1,0,0,0,1,0,1,0,2,Southpaw,170.18,177.8,145.0,29.0,29.0
28,2.7253593752730723,-0.924450366451162,1.9569313670481179,1.6916197734064702,-0.8670124042476025,1.5203229337064814,Blue,True,Women's Strawweight,5,0,3,0,3,4,1,0,1,5,2,2,0,10,Orthodox,154.94,157.48,115.0,0,3,0,3,2,3,0,0,2,1,3,0,6,Orthodox,165.1,165.1,115.0,27.0,26.0
29,0.3214133331767127,-1.1044164423302194,-0.762388134235276,-0.15384834529325073,-0.04189559220663366,-2.19735639158682,Red,False,Middleweight,3,1,0,0,16,6,13,0,0,3,11,3,0,17,Southpaw,187.96,195.58,185.0,0,1,0,2,4,0,0,0,1,3,0,0,4,Switch,180.34,195.58,185.0,44.0,35.0
30,0.7407951630534946,-0.6134355724579761,2.575709116023525,2.651918256774915,-1.6368605668258402,-0.10092227184240772,Blue,False,Featherweight,3,0,6,0,6,0,0,0,0,3,3,0,0,6,Orthodox,167.64,180.34,145.0,0,2,0,7,3,11,0,0,6,4,0,0,10,Orthodox,170.18,177.8,145.0,30.0,32.0
31,4.251292223848993,-3.6966117643702585,-1.1164166119397467,2.0872655351908405,-0.15249674932415466,-0.6457863636991571,Blue,False,Welterweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,185.42,180.34,170.0,0,1,0,7,10,1,0,1,5,7,1,1,15,Orthodox,175.26,177.8,170.0,26.0,35.0
32,1.9584121501003997,-1.878087059053202,-0.6720916683270353,5.867523543616905,-1.6636242685745406,0.9573721940073787,Red,False,Women's Bantamweight,3,2,0,0,3,4,1,0,2,1,1,0,0,4,Orthodox,165.1,162.56,135.0,0,2,0,2,2,0,0,1,1,0,0,0,2,Orthodox,175.26,172.72,135.0,35.0,31.0
33,1.0323808096937135,4.5332474647999055,0.47869414196671306,0.39822053936062174,0.8875501703954973,-2.11093644768005,Blue,False,Light Heavyweight,3,0,1,0,1,0,0,0,0,1,0,0,0,1,Orthodox,195.58,200.66,205.0,0,1,0,2,5,0,0,1,1,4,0,0,6,Southpaw,187.96,190.5,205.0,27.0,42.0
34,0.8794710020572101,0.23154215358940133,-1.0723445501536422,1.0485184620340644,7.188889998334363,-2.8666350833648395,Red,False,Lightweight,3,3,0,0,0,3,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,155.0,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,155.0,32.0,24.0
35,-0.5065577087539379,-1.6500383318747474,0.4971578568887315,0.6680096985496141,-1.3084551575289027,0.13573952149234297,Red,False,Welterweight,3,1,0,0,4,4,1,0,2,2,1,3,0,8,Orthodox,182.88,182.88,170.0,1,0,0,4,3,1,0,0,2,0,3,1,6,Orthodox,180.34,182.88,170.0,36.0,28.0
36,-0.08562999712717256,-0.8977270299559251,1.8765584680944278,1.4540338908176702,0.29465962764220793,0.4900625758502543,Blue,False,Lightweight,3,1,0,0,4,12,0,0,3,5,2,4,0,14,Orthodox,170.18,177.8,155.0,7,0,0,3,14,11,0,0,1,6,4,1,12,Orthodox,175.26,177.8,155.0,37.0,40.0
37,1.336807763387062,-2.4088820799405872,0.26548035643938067,1.5249502955329506,-0.9810246993706708,-0.8716760334796366,Blue,False,Lightweight,5,0,2,0,8,8,1,0,0,6,10,6,0,22,Orthodox,185.42,185.42,155.0,0,1,0,5,3,2,0,1,4,4,0,0,9,Orthodox,177.8,177.8,155.0,36.0,32.0
38,4.276094074013434,-1.0377794087751644,0.7263314501035004,-1.9407832682859916,-2.2606125787201785,-0.5419563163695501,Red,False,Middleweight,3,0,3,0,3,2,1,0,1,5,2,0,0,8,Orthodox,185.42,190.5,185.0,2,0,0,5,5,0,0,0,2,6,1,0,9,Southpaw,185.42,195.58,185.0,30.0,35.0
